# Monster spawn data generated from DumpStaticGridOccupancyLog()
#
# Mega grid layout in world space (+Z upward):
# 7 8 9
# 4 5 6
# 1 2 3
#
# ID rule: mega_id = mega_z * 3 + mega_x + 1
# Internal mega coords are 0-based.
#
CONFIG|grid_min=(-600,-200)|grid_max_exclusive=(600,1000)|grid_size=(1200,1200)|mega_grid_size=(400,400)|center_spawn_size=(200,200)|allow_shared_non_boss_cells=0|non_boss_ignore_occupancy_mega_ids=[5]|rng_seed=20260416
SPAWN|index=256|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(313,0,-17)|yaw_deg=318.999|rot=(0.000000,0.350218,0.000000,-0.936668)|rule=zero_cell_in_center_200x200
SPAWN|index=257|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(488,0,-43)|yaw_deg=117.316|rot=(0.000000,0.854080,0.000000,0.520142)|rule=zero_cell_in_center_200x200
SPAWN|index=258|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(437,0,79)|yaw_deg=177.502|rot=(0.000000,0.999762,0.000000,0.021796)|rule=zero_cell_in_center_200x200
SPAWN|index=259|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(404,0,-10)|yaw_deg=168.600|rot=(0.000000,0.995056,0.000000,0.099320)|rule=zero_cell_in_center_200x200
SPAWN|index=260|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(419,0,-99)|yaw_deg=201.673|rot=(0.000000,0.982167,0.000000,-0.188010)|rule=zero_cell_in_center_200x200
SPAWN|index=261|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(302,0,78)|yaw_deg=107.771|rot=(0.000000,0.807843,0.000000,0.589398)|rule=zero_cell_in_center_200x200
SPAWN|index=262|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(442,0,-27)|yaw_deg=119.556|rot=(0.000000,0.864084,0.000000,0.503348)|rule=zero_cell_in_center_200x200
SPAWN|index=263|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(363,0,24)|yaw_deg=242.506|rot=(0.000000,0.854886,0.000000,-0.518816)|rule=zero_cell_in_center_200x200
SPAWN|index=264|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(490,0,3)|yaw_deg=210.252|rot=(0.000000,0.965355,0.000000,-0.260940)|rule=zero_cell_in_center_200x200
SPAWN|index=265|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(389,0,49)|yaw_deg=251.682|rot=(0.000000,0.810647,0.000000,-0.585535)|rule=zero_cell_in_center_200x200
SPAWN|index=266|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(486,0,70)|yaw_deg=158.237|rot=(0.000000,0.982020,0.000000,0.188776)|rule=zero_cell_in_center_200x200
SPAWN|index=267|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(359,0,-66)|yaw_deg=246.158|rot=(0.000000,0.837919,0.000000,-0.545795)|rule=zero_cell_in_center_200x200
SPAWN|index=268|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(400,0,-54)|yaw_deg=49.153|rot=(0.000000,0.415906,0.000000,0.909407)|rule=zero_cell_in_center_200x200
SPAWN|index=269|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(402,0,21)|yaw_deg=249.127|rot=(0.000000,0.823500,0.000000,-0.567317)|rule=zero_cell_in_center_200x200
SPAWN|index=270|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(453,0,94)|yaw_deg=326.776|rot=(0.000000,0.285892,0.000000,-0.958262)|rule=zero_cell_in_center_200x200
SPAWN|index=271|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(362,0,24)|yaw_deg=206.281|rot=(0.000000,0.973816,0.000000,-0.227339)|rule=zero_cell_in_center_200x200
SPAWN|index=272|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(355,0,-10)|yaw_deg=142.050|rot=(0.000000,0.945662,0.000000,0.325151)|rule=zero_cell_in_center_200x200
SPAWN|index=273|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(306,0,18)|yaw_deg=147.797|rot=(0.000000,0.960772,0.000000,0.277339)|rule=zero_cell_in_center_200x200
SPAWN|index=274|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(479,0,-7)|yaw_deg=46.010|rot=(0.000000,0.390809,0.000000,0.920472)|rule=zero_cell_in_center_200x200
SPAWN|index=275|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(321,0,-96)|yaw_deg=318.441|rot=(0.000000,0.354772,0.000000,-0.934953)|rule=zero_cell_in_center_200x200
SPAWN|index=276|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(496,0,17)|yaw_deg=243.691|rot=(0.000000,0.849475,0.000000,-0.527629)|rule=zero_cell_in_center_200x200
SPAWN|index=277|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(343,0,7)|yaw_deg=154.107|rot=(0.000000,0.974579,0.000000,0.224045)|rule=zero_cell_in_center_200x200
SPAWN|index=278|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(467,0,64)|yaw_deg=317.357|rot=(0.000000,0.363597,0.000000,-0.931556)|rule=zero_cell_in_center_200x200
SPAWN|index=279|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(355,0,68)|yaw_deg=157.682|rot=(0.000000,0.981095,0.000000,0.193528)|rule=zero_cell_in_center_200x200
SPAWN|index=280|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(395,0,43)|yaw_deg=87.397|rot=(0.000000,0.690865,0.000000,0.722984)|rule=zero_cell_in_center_200x200
SPAWN|index=281|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(353,0,95)|yaw_deg=342.573|rot=(0.000000,0.151496,0.000000,-0.988458)|rule=zero_cell_in_center_200x200
SPAWN|index=282|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(448,0,-39)|yaw_deg=76.375|rot=(0.000000,0.618236,0.000000,0.785993)|rule=zero_cell_in_center_200x200
SPAWN|index=283|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(411,0,-13)|yaw_deg=241.802|rot=(0.000000,0.858056,0.000000,-0.513555)|rule=zero_cell_in_center_200x200
SPAWN|index=284|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(443,0,-19)|yaw_deg=130.387|rot=(0.000000,0.907730,0.000000,0.419556)|rule=zero_cell_in_center_200x200
SPAWN|index=285|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(347,0,-97)|yaw_deg=6.835|rot=(0.000000,0.059612,0.000000,0.998222)|rule=zero_cell_in_center_200x200
SPAWN|index=286|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(331,0,-3)|yaw_deg=236.632|rot=(0.000000,0.880346,0.000000,-0.474332)|rule=zero_cell_in_center_200x200
SPAWN|index=287|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(318,0,-17)|yaw_deg=269.304|rot=(0.000000,0.711390,0.000000,-0.702797)|rule=zero_cell_in_center_200x200
SPAWN|index=288|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(328,0,95)|yaw_deg=69.119|rot=(0.000000,0.567263,0.000000,0.823537)|rule=zero_cell_in_center_200x200
SPAWN|index=289|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(356,0,82)|yaw_deg=341.798|rot=(0.000000,0.158174,0.000000,-0.987411)|rule=zero_cell_in_center_200x200
SPAWN|index=290|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(407,0,-80)|yaw_deg=274.128|rot=(0.000000,0.681183,0.000000,-0.732113)|rule=zero_cell_in_center_200x200
SPAWN|index=291|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(493,0,-71)|yaw_deg=292.088|rot=(0.000000,0.558559,0.000000,-0.829465)|rule=zero_cell_in_center_200x200
SPAWN|index=292|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(377,0,17)|yaw_deg=0.927|rot=(0.000000,0.008091,0.000000,0.999967)|rule=zero_cell_in_center_200x200
SPAWN|index=293|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(423,0,29)|yaw_deg=72.958|rot=(0.000000,0.594526,0.000000,0.804076)|rule=zero_cell_in_center_200x200
SPAWN|index=294|type="Ghoul"|mega_id=3|mega=(2,0)|pos=(433,0,12)|yaw_deg=353.455|rot=(0.000000,0.057081,0.000000,-0.998370)|rule=zero_cell_in_center_200x200
SPAWN|index=295|type="BowMan"|mega_id=3|mega=(2,0)|pos=(353,0,-65)|yaw_deg=37.264|rot=(0.000000,0.319487,0.000000,0.947591)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=296|type="BowMan"|mega_id=3|mega=(2,0)|pos=(470,0,18)|yaw_deg=172.185|rot=(0.000000,0.997675,0.000000,0.068145)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=297|type="BowMan"|mega_id=3|mega=(2,0)|pos=(489,0,-74)|yaw_deg=90.000|rot=(0.000000,0.707107,0.000000,0.707107)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=298|type="BowMan"|mega_id=3|mega=(2,0)|pos=(414,0,-91)|yaw_deg=91.380|rot=(0.000000,0.715573,0.000000,0.698538)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=299|type="BowMan"|mega_id=3|mega=(2,0)|pos=(393,0,26)|yaw_deg=90.876|rot=(0.000000,0.712495,0.000000,0.701678)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=300|type="SwordMan"|mega_id=3|mega=(2,0)|pos=(360,0,29)|yaw_deg=311.262|rot=(0.000000,0.412608,0.000000,-0.910909)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=301|type="SwordMan"|mega_id=3|mega=(2,0)|pos=(321,0,-6)|yaw_deg=90.000|rot=(0.000000,0.707107,0.000000,0.707107)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=302|type="SwordMan"|mega_id=3|mega=(2,0)|pos=(473,0,35)|yaw_deg=81.114|rot=(0.000000,0.650202,0.000000,0.759761)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=303|type="SwordMan"|mega_id=3|mega=(2,0)|pos=(347,0,-79)|yaw_deg=148.440|rot=(0.000000,0.962312,0.000000,0.271946)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=304|type="SwordMan"|mega_id=3|mega=(2,0)|pos=(342,0,30)|yaw_deg=225.938|rot=(0.000000,0.920717,0.000000,-0.390232)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=305|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-425,0,352)|yaw_deg=358.834|rot=(0.000000,0.010179,0.000000,-0.999948)|rule=zero_cell_in_center_200x200
SPAWN|index=306|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-337,0,350)|yaw_deg=72.537|rot=(0.000000,0.591571,0.000000,0.806253)|rule=zero_cell_in_center_200x200
SPAWN|index=307|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-466,0,471)|yaw_deg=300.555|rot=(0.000000,0.495796,0.000000,-0.868439)|rule=zero_cell_in_center_200x200
SPAWN|index=308|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-456,0,309)|yaw_deg=182.049|rot=(0.000000,0.999840,0.000000,-0.017880)|rule=zero_cell_in_center_200x200
SPAWN|index=309|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-309,0,460)|yaw_deg=266.387|rot=(0.000000,0.729046,0.000000,-0.684465)|rule=zero_cell_in_center_200x200
SPAWN|index=310|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-383,0,445)|yaw_deg=331.669|rot=(0.000000,0.244727,0.000000,-0.969592)|rule=zero_cell_in_center_200x200
SPAWN|index=311|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-474,0,377)|yaw_deg=341.781|rot=(0.000000,0.158325,0.000000,-0.987387)|rule=zero_cell_in_center_200x200
SPAWN|index=312|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-438,0,427)|yaw_deg=340.977|rot=(0.000000,0.165250,0.000000,-0.986252)|rule=zero_cell_in_center_200x200
SPAWN|index=313|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-466,0,303)|yaw_deg=288.262|rot=(0.000000,0.585936,0.000000,-0.810357)|rule=zero_cell_in_center_200x200
SPAWN|index=314|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-358,0,467)|yaw_deg=188.843|rot=(0.000000,0.997024,0.000000,-0.077092)|rule=zero_cell_in_center_200x200
SPAWN|index=315|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-471,0,348)|yaw_deg=275.231|rot=(0.000000,0.674101,0.000000,-0.738639)|rule=zero_cell_in_center_200x200
SPAWN|index=316|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-352,0,480)|yaw_deg=220.390|rot=(0.000000,0.938523,0.000000,-0.345217)|rule=zero_cell_in_center_200x200
SPAWN|index=317|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-310,0,375)|yaw_deg=189.563|rot=(0.000000,0.996520,0.000000,-0.083352)|rule=zero_cell_in_center_200x200
SPAWN|index=318|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-426,0,383)|yaw_deg=282.452|rot=(0.000000,0.626249,0.000000,-0.779623)|rule=zero_cell_in_center_200x200
SPAWN|index=319|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-486,0,440)|yaw_deg=326.665|rot=(0.000000,0.286819,0.000000,-0.957985)|rule=zero_cell_in_center_200x200
SPAWN|index=320|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-448,0,414)|yaw_deg=139.281|rot=(0.000000,0.937528,0.000000,0.347909)|rule=zero_cell_in_center_200x200
SPAWN|index=321|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-498,0,328)|yaw_deg=299.344|rot=(0.000000,0.504946,0.000000,-0.863151)|rule=zero_cell_in_center_200x200
SPAWN|index=322|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-489,0,387)|yaw_deg=295.899|rot=(0.000000,0.530665,0.000000,-0.847581)|rule=zero_cell_in_center_200x200
SPAWN|index=323|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-425,0,436)|yaw_deg=289.902|rot=(0.000000,0.574277,0.000000,-0.818661)|rule=zero_cell_in_center_200x200
SPAWN|index=324|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-322,0,388)|yaw_deg=58.913|rot=(0.000000,0.491764,0.000000,0.870729)|rule=zero_cell_in_center_200x200
SPAWN|index=325|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-341,0,380)|yaw_deg=21.282|rot=(0.000000,0.184652,0.000000,0.982804)|rule=zero_cell_in_center_200x200
SPAWN|index=326|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-494,0,489)|yaw_deg=283.440|rot=(0.000000,0.619504,0.000000,-0.784993)|rule=zero_cell_in_center_200x200
SPAWN|index=327|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-427,0,352)|yaw_deg=266.796|rot=(0.000000,0.726600,0.000000,-0.687061)|rule=zero_cell_in_center_200x200
SPAWN|index=328|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-359,0,304)|yaw_deg=148.423|rot=(0.000000,0.962271,0.000000,0.272091)|rule=zero_cell_in_center_200x200
SPAWN|index=329|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-462,0,332)|yaw_deg=162.813|rot=(0.000000,0.988773,0.000000,0.149425)|rule=zero_cell_in_center_200x200
SPAWN|index=330|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-407,0,401)|yaw_deg=303.663|rot=(0.000000,0.472066,0.000000,-0.881563)|rule=zero_cell_in_center_200x200
SPAWN|index=331|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-462,0,482)|yaw_deg=107.594|rot=(0.000000,0.806928,0.000000,0.590649)|rule=zero_cell_in_center_200x200
SPAWN|index=332|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-374,0,341)|yaw_deg=241.087|rot=(0.000000,0.861245,0.000000,-0.508190)|rule=zero_cell_in_center_200x200
SPAWN|index=333|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-421,0,404)|yaw_deg=110.013|rot=(0.000000,0.819220,0.000000,0.573480)|rule=zero_cell_in_center_200x200
SPAWN|index=334|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-360,0,333)|yaw_deg=212.725|rot=(0.000000,0.959498,0.000000,-0.281717)|rule=zero_cell_in_center_200x200
SPAWN|index=335|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-335,0,480)|yaw_deg=314.062|rot=(0.000000,0.390234,0.000000,-0.920716)|rule=zero_cell_in_center_200x200
SPAWN|index=336|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-465,0,404)|yaw_deg=80.639|rot=(0.000000,0.647050,0.000000,0.762448)|rule=zero_cell_in_center_200x200
SPAWN|index=337|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-366,0,376)|yaw_deg=296.007|rot=(0.000000,0.529864,0.000000,-0.848082)|rule=zero_cell_in_center_200x200
SPAWN|index=338|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-481,0,328)|yaw_deg=194.150|rot=(0.000000,0.992386,0.000000,-0.123166)|rule=zero_cell_in_center_200x200
SPAWN|index=339|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-484,0,306)|yaw_deg=84.641|rot=(0.000000,0.673275,0.000000,0.739392)|rule=zero_cell_in_center_200x200
SPAWN|index=340|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-446,0,446)|yaw_deg=132.785|rot=(0.000000,0.916311,0.000000,0.400468)|rule=zero_cell_in_center_200x200
SPAWN|index=341|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-343,0,488)|yaw_deg=102.469|rot=(0.000000,0.779713,0.000000,0.626137)|rule=zero_cell_in_center_200x200
SPAWN|index=342|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-416,0,442)|yaw_deg=327.159|rot=(0.000000,0.282685,0.000000,-0.959213)|rule=zero_cell_in_center_200x200
SPAWN|index=343|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-311,0,314)|yaw_deg=174.466|rot=(0.000000,0.998834,0.000000,0.048277)|rule=zero_cell_in_center_200x200
SPAWN|index=344|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-463,0,431)|yaw_deg=211.909|rot=(0.000000,0.961481,0.000000,-0.274872)|rule=zero_cell_in_center_200x200
SPAWN|index=345|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-340,0,380)|yaw_deg=165.854|rot=(0.000000,0.992390,0.000000,0.123135)|rule=zero_cell_in_center_200x200
SPAWN|index=346|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-461,0,388)|yaw_deg=141.518|rot=(0.000000,0.944140,0.000000,0.329546)|rule=zero_cell_in_center_200x200
SPAWN|index=347|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-357,0,407)|yaw_deg=9.535|rot=(0.000000,0.083115,0.000000,0.996540)|rule=zero_cell_in_center_200x200
SPAWN|index=348|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-483,0,315)|yaw_deg=139.491|rot=(0.000000,0.938165,0.000000,0.346189)|rule=zero_cell_in_center_200x200
SPAWN|index=349|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-495,0,445)|yaw_deg=155.583|rot=(0.000000,0.977384,0.000000,0.211473)|rule=zero_cell_in_center_200x200
SPAWN|index=350|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-470,0,385)|yaw_deg=196.925|rot=(0.000000,0.989112,0.000000,-0.147165)|rule=zero_cell_in_center_200x200
SPAWN|index=351|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-315,0,413)|yaw_deg=124.068|rot=(0.000000,0.883228,0.000000,0.468945)|rule=zero_cell_in_center_200x200
SPAWN|index=352|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-356,0,488)|yaw_deg=9.035|rot=(0.000000,0.078767,0.000000,0.996893)|rule=zero_cell_in_center_200x200
SPAWN|index=353|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-317,0,385)|yaw_deg=7.319|rot=(0.000000,0.063826,0.000000,0.997961)|rule=zero_cell_in_center_200x200
SPAWN|index=354|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-339,0,414)|yaw_deg=252.263|rot=(0.000000,0.807668,0.000000,-0.589638)|rule=zero_cell_in_center_200x200
SPAWN|index=355|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-312,0,429)|yaw_deg=135.933|rot=(0.000000,0.926966,0.000000,0.375145)|rule=zero_cell_in_center_200x200
SPAWN|index=356|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-484,0,418)|yaw_deg=73.322|rot=(0.000000,0.597076,0.000000,0.802185)|rule=zero_cell_in_center_200x200
SPAWN|index=357|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-328,0,455)|yaw_deg=253.433|rot=(0.000000,0.801603,0.000000,-0.597856)|rule=zero_cell_in_center_200x200
SPAWN|index=358|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-439,0,437)|yaw_deg=124.459|rot=(0.000000,0.884822,0.000000,0.465929)|rule=zero_cell_in_center_200x200
SPAWN|index=359|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-337,0,363)|yaw_deg=15.455|rot=(0.000000,0.134466,0.000000,0.990918)|rule=zero_cell_in_center_200x200
SPAWN|index=360|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-486,0,445)|yaw_deg=82.079|rot=(0.000000,0.656581,0.000000,0.754256)|rule=zero_cell_in_center_200x200
SPAWN|index=361|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-387,0,469)|yaw_deg=299.521|rot=(0.000000,0.503617,0.000000,-0.863927)|rule=zero_cell_in_center_200x200
SPAWN|index=362|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-339,0,473)|yaw_deg=13.581|rot=(0.000000,0.118240,0.000000,0.992985)|rule=zero_cell_in_center_200x200
SPAWN|index=363|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-393,0,391)|yaw_deg=129.377|rot=(0.000000,0.903995,0.000000,0.427543)|rule=zero_cell_in_center_200x200
SPAWN|index=364|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-445,0,477)|yaw_deg=305.801|rot=(0.000000,0.455538,0.000000,-0.890216)|rule=zero_cell_in_center_200x200
SPAWN|index=365|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-415,0,461)|yaw_deg=48.363|rot=(0.000000,0.409630,0.000000,0.912252)|rule=zero_cell_in_center_200x200
SPAWN|index=366|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-323,0,350)|yaw_deg=271.645|rot=(0.000000,0.696883,0.000000,-0.717185)|rule=zero_cell_in_center_200x200
SPAWN|index=367|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-445,0,410)|yaw_deg=354.852|rot=(0.000000,0.044912,0.000000,-0.998991)|rule=zero_cell_in_center_200x200
SPAWN|index=368|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-468,0,324)|yaw_deg=218.723|rot=(0.000000,0.943445,0.000000,-0.331530)|rule=zero_cell_in_center_200x200
SPAWN|index=369|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-411,0,314)|yaw_deg=193.714|rot=(0.000000,0.992847,0.000000,-0.119396)|rule=zero_cell_in_center_200x200
SPAWN|index=370|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-460,0,493)|yaw_deg=165.334|rot=(0.000000,0.991821,0.000000,0.127633)|rule=zero_cell_in_center_200x200
SPAWN|index=371|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-328,0,353)|yaw_deg=149.384|rot=(0.000000,0.964520,0.000000,0.264008)|rule=zero_cell_in_center_200x200
SPAWN|index=372|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-336,0,405)|yaw_deg=41.376|rot=(0.000000,0.353277,0.000000,0.935519)|rule=zero_cell_in_center_200x200
SPAWN|index=373|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-447,0,475)|yaw_deg=225.088|rot=(0.000000,0.923584,0.000000,-0.383395)|rule=zero_cell_in_center_200x200
SPAWN|index=374|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-397,0,332)|yaw_deg=133.705|rot=(0.000000,0.919496,0.000000,0.393098)|rule=zero_cell_in_center_200x200
SPAWN|index=375|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-306,0,464)|yaw_deg=148.539|rot=(0.000000,0.962548,0.000000,0.271110)|rule=zero_cell_in_center_200x200
SPAWN|index=376|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-327,0,405)|yaw_deg=210.765|rot=(0.000000,0.964175,0.000000,-0.265266)|rule=zero_cell_in_center_200x200
SPAWN|index=377|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-324,0,457)|yaw_deg=121.512|rot=(0.000000,0.872546,0.000000,0.488532)|rule=zero_cell_in_center_200x200
SPAWN|index=378|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-332,0,328)|yaw_deg=105.284|rot=(0.000000,0.794861,0.000000,0.606791)|rule=zero_cell_in_center_200x200
SPAWN|index=379|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-434,0,316)|yaw_deg=91.776|rot=(0.000000,0.717981,0.000000,0.696063)|rule=zero_cell_in_center_200x200
SPAWN|index=380|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-465,0,476)|yaw_deg=326.767|rot=(0.000000,0.285963,0.000000,-0.958241)|rule=zero_cell_in_center_200x200
SPAWN|index=381|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-446,0,474)|yaw_deg=288.811|rot=(0.000000,0.582046,0.000000,-0.813156)|rule=zero_cell_in_center_200x200
SPAWN|index=382|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-459,0,327)|yaw_deg=211.905|rot=(0.000000,0.961489,0.000000,-0.274843)|rule=zero_cell_in_center_200x200
SPAWN|index=383|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-483,0,338)|yaw_deg=334.605|rot=(0.000000,0.219800,0.000000,-0.975545)|rule=zero_cell_in_center_200x200
SPAWN|index=384|type="Ghoul"|mega_id=4|mega=(0,1)|pos=(-317,0,364)|yaw_deg=102.049|rot=(0.000000,0.777416,0.000000,0.628986)|rule=zero_cell_in_center_200x200
SPAWN|index=385|type="BowMan"|mega_id=4|mega=(0,1)|pos=(-495,0,448)|yaw_deg=136.739|rot=(0.000000,0.929580,0.000000,0.368620)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=386|type="BowMan"|mega_id=4|mega=(0,1)|pos=(-397,0,426)|yaw_deg=359.858|rot=(0.000000,0.001243,0.000000,-0.999999)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=387|type="BowMan"|mega_id=4|mega=(0,1)|pos=(-405,0,358)|yaw_deg=302.333|rot=(0.000000,0.482268,0.000000,-0.876024)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=388|type="SwordMan"|mega_id=4|mega=(0,1)|pos=(-388,0,478)|yaw_deg=117.169|rot=(0.000000,0.853411,0.000000,0.521238)|rule=zero_cell_in_center_200x200_with_10m_patrol_clearance
SPAWN|index=389|type="Ghoul"|mega_id=5|mega=(1,1)|pos=(-15,0,456)|yaw_deg=69.700|rot=(0.000000,0.571430,0.000000,0.820651)|rule=ignore_occupancy_in_center_200x200
SPAWN|index=390|type="Ghoul"|mega_id=5|mega=(1,1)|pos=(30,0,310)|yaw_deg=297.295|rot=(0.000000,0.520303,0.000000,-0.853982)|rule=ignore_occupancy_in_center_200x200
